experiment_name,model_name,method,data_fraction,seed,f1_macro,accuracy,f1_negative,f1_neutral,f1_positive,trainable_params,peak_vram_gb,train_time_s,inference_latency_ms,fallback_rate,notes
cutc_qwen4b_es2es_s44,Qwen/Qwen3-4B,lora,full,44,0.6963173700015806,0.7747747747747747,0.8468468468468469,0.4,0.8421052631578947,11796480,16.53464832,83.3742,63.59286542589727,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.7094@step232. loss 0.528234679123451->0.01125970174526346. n_train=738, n_test=444. train_dir=tass_es, eval_dir=tass_es."
cutc_qwen1.7b_pe2es_s44,Qwen/Qwen3-1.7B,lora,full,44,0.624961349712221,0.6509009009009009,0.7409326424870466,0.391304347826087,0.7426470588235294,6422528,8.568906752,48.7058,51.532949582395844,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7793@step340. loss 0.5748733071719899->0.005312558482674991. n_train=541, n_test=444. train_dir=tass_pe, eval_dir=tass_es."
cutc_qwen4b_es2cr_s44,Qwen/Qwen3-4B,lora,full,44,0.6769941354435253,0.7727272727272727,0.8583690987124464,0.35294117647058826,0.819672131147541,11796480,16.53464832,83.6949,64.41197793505955,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.7094@step232. loss 0.528234679123451->0.01125970174526346. n_train=738, n_test=242. train_dir=tass_es, eval_dir=tass_cr."
cutc_qwen1.7b_pe2cr_s44,Qwen/Qwen3-1.7B,lora,full,44,0.6930015497966816,0.7231404958677686,0.7980295566502463,0.5045045045045045,0.7764705882352941,6422528,8.568906752,47.8589,51.08618581046661,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7793@step340. loss 0.5748733071719899->0.005312558482674991. n_train=541, n_test=242. train_dir=tass_pe, eval_dir=tass_cr."
cutc_qwen1.7b_pe2pe_s44,Qwen/Qwen3-1.7B,lora,full,44,0.6642715696816919,0.6870229007633588,0.7272727272727273,0.45925925925925926,0.806282722513089,6422528,8.568906752,48.9279,51.86042056435294,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7793@step340. loss 0.5748733071719899->0.005312558482674991. n_train=541, n_test=262. train_dir=tass_pe, eval_dir=tass_pe."
cutc_qwen4b_es2pe_s44,Qwen/Qwen3-4B,lora,full,44,0.6843549422336328,0.7442748091603053,0.8125,0.42105263157894735,0.8195121951219512,11796480,16.53464832,84.4954,65.24156687552468,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.7094@step232. loss 0.528234679123451->0.01125970174526346. n_train=738, n_test=262. train_dir=tass_es, eval_dir=tass_pe."
cutc_qwen4b_cr2es_s44,Qwen/Qwen3-4B,lora,full,44,0.6569892987869995,0.7162162162162162,0.7908163265306123,0.3764705882352941,0.803680981595092,11796480,16.316954112,64.6903,67.04267049044894,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7607@step255. loss 0.4973116257611443->0.0055177723660188565. n_train=539, n_test=444. train_dir=tass_cr, eval_dir=tass_es."
cutc_qwen4b_cr2cr_s44,Qwen/Qwen3-4B,lora,full,44,0.7015617314313821,0.7727272727272727,0.8691588785046729,0.425,0.8105263157894737,11796480,16.316954112,63.7583,68.2875760422464,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7607@step255. loss 0.4973116257611443->0.0055177723660188565. n_train=539, n_test=242. train_dir=tass_cr, eval_dir=tass_cr."
cutc_qwen4b_cr2pe_s44,Qwen/Qwen3-4B,lora,full,44,0.6977473176116974,0.7480916030534351,0.821256038647343,0.46464646464646464,0.8073394495412844,11796480,16.316954112,62.0217,65.75678254624731,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7607@step255. loss 0.4973116257611443->0.0055177723660188565. n_train=539, n_test=262. train_dir=tass_cr, eval_dir=tass_pe."
cutc_qwen4b_pe2es_s44,Qwen/Qwen3-4B,lora,full,44,0.6276550131092709,0.6441441441441441,0.7262872628726287,0.4112903225806452,0.7453874538745388,11796480,16.534667264,61.6442,64.69686411059739,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7042@step255. loss 0.46948224235983455->0.0020324226687936224. n_train=541, n_test=444. train_dir=tass_pe, eval_dir=tass_es."
cutc_qwen4b_pe2cr_s44,Qwen/Qwen3-4B,lora,full,44,0.6829752127247343,0.7107438016528925,0.8020304568527918,0.45901639344262296,0.7878787878787878,11796480,16.534667264,61.1838,63.842698441524256,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7042@step255. loss 0.46948224235983455->0.0020324226687936224. n_train=541, n_test=242. train_dir=tass_pe, eval_dir=tass_cr."
cutc_qwen4b_pe2pe_s44,Qwen/Qwen3-4B,lora,full,44,0.6786984821913018,0.6908396946564885,0.7195767195767195,0.5100671140939598,0.8064516129032258,11796480,16.534667264,63.4409,69.86046454199312,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=44. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7042@step255. loss 0.46948224235983455->0.0020324226687936224. n_train=541, n_test=262. train_dir=tass_pe, eval_dir=tass_pe."
